,Project Geographic District ,Project Building Identifier,Project School Name,Project Type ,Project Description,Project Phase Name,Project Status Name,Project Phase Actual Start Date,Project Phase Planned End Date,Project Phase Actual End Date,Project Budget Amount Clean,Final Estimate of Actual Costs Through End of Phase Amount,Total Phase Actual Spending Amount
7409,20,K069,P.S. 69 - BROOKLYN,SCA CIP RESOA,FY24 RESO A AUDITORIUM UPGRADE,"CM,F&E",PNS,,,,75000.0,75000.0,6256.0
7410,20,K082,I.S. @ 6315 14 AVENUE - BROOKLYN,SCA Capacity,NEW SCHOOL,Scope,Complete,2022-11-01,2023-04-14,2023-04-13,1274220.0,721122.0,721061.0
7411,20,K082,I.S. @ 6315 14 AVENUE - BROOKLYN,SCA Capacity,NEW SCHOOL,Design,Complete,2023-04-14,2023-11-30,2024-05-01,5733990.0,1834973.0,1040008.0
7412,20,K082,I.S. @ 6315 14 AVENUE - BROOKLYN,SCA Capacity,NEW SCHOOL,Construction,In-Progress,2024-12-02,2027-09-03,,72311985.0,64070465.0,293748.0
7413,20,K082,I.S. @ 6315 14 AVENUE - BROOKLYN,SCA Capacity,NEW SCHOOL,"CM,Art,F&E",In-Progress,2024-12-02,2027-09-03,,10193760.0,3959353.0,351774.0
7414,20,K082,I.S. @ 6315 14 AVENUE - BROOKLYN,SCA CIP,DEMOLITION,Scope,Complete,2023-01-26,2023-01-26,2023-01-26,72660.0,1702.0,1702.0
7415,20,K082,I.S. @ 6315 14 AVENUE - BROOKLYN,SCA CIP,DEMOLITION,Design,Complete,2023-01-26,2023-07-05,2023-10-17,363300.0,263265.0,182030.0
7416,20,K082,I.S. @ 6315 14 AVENUE - BROOKLYN,SCA CIP,DEMOLITION,Construction,Complete,2023-12-18,2024-03-16,2024-11-29,8174250.0,7339608.0,5456670.0
7417,20,K082,I.S. @ 6315 14 AVENUE - BROOKLYN,SCA CIP,DEMOLITION,"CM,F&E",Complete,2023-12-18,2024-03-16,2024-11-29,508620.0,374707.0,329334.0
7418,20,K102,P.S. 102 - BROOKLYN,SCA CIP,FLOOD ELIMINATION,Scope,Complete,2023-10-12,2024-03-01,2024-04-23,31559.0,130304.0,129939.0
7419,20,K102,P.S. 102 - BROOKLYN,SCA CIP,FLOOD ELIMINATION,Design,In-Progress,2024-05-06,2024-10-07,,157794.0,157794.0,77893.0
7420,20,K102,P.S. 102 - BROOKLYN,SCA CIP,FLOOD ELIMINATION,Construction,PNS,,,,3550365.0,3550365.0,222878.0
7421,20,K102,P.S. 102 - BROOKLYN,SCA CIP,FLOOD ELIMINATION,"CM,F&E",PNS,,,,220912.0,220912.0,92744.0
7422,20,K102,P.S. 102 - BROOKLYN,SCA CIP,PATH OF TRAVEL FLOOD ELIMINATION,Scope,Complete,2024-02-15,2024-05-15,2024-10-21,6164.0,696.0,696.0
7423,20,K102,P.S. 102 - BROOKLYN,SCA CIP,PATH OF TRAVEL FLOOD ELIMINATION,Design,In-Progress,2024-10-22,2025-02-24,,27737.0,27737.0,2785.0
7424,20,K102,P.S. 102 - BROOKLYN,SCA CIP,PATH OF TRAVEL FLOOD ELIMINATION,Construction,PNS,,,,357495.0,357495.0,0.0
7425,20,K102,P.S. 102 - BROOKLYN,SCA CIP,PATH OF TRAVEL FLOOD ELIMINATION,"CM,F&E",PNS,,,,66260.0,66260.0,3053.0
7426,20,K102,P.S. 102 - BROOKLYN,SCA CIP,IPDVS INSTALLATIONS,Scope,Complete,2024-03-28,2024-07-29,2024-04-19,3520.0,3429.0,3429.0
7427,20,K102,P.S. 102 - BROOKLYN,SCA CIP,IPDVS INSTALLATIONS,Design,Complete,2024-04-19,2024-10-16,2024-09-25,15840.0,13714.0,13714.0
7428,20,K102,P.S. 102 - BROOKLYN,SCA CIP,IPDVS INSTALLATIONS,Construction,In-Progress,2025-02-20,2026-01-15,,204160.0,184954.0,2879.0
7429,20,K102,P.S. 102 - BROOKLYN,SCA CIP,IPDVS INSTALLATIONS,"CM,F&E",In-Progress,2025-02-20,2026-01-15,,37840.0,23503.0,4495.0
7434,20,K102,P.S. 102 - BROOKLYN,SCA Furniture & Equipment,FY21 RESO A MOBILE SCIENCE LABS,F&E,PNS,,,,100000.0,100000.0,0.0
7435,20,K102,P.S. 102 - BROOKLYN,SCA Furniture & Equipment,FY24 RESO A MOBILE SCIENCE LABS,F&E,PNS,,,,62828.0,62828.0,62828.0
7437,20,K104,P.S. 104 - BROOKLYN,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL / COVID VENTILATION / COVID LOW VOLTAGE ELECTRICAL SYSTEMS / FLOOD ELIMINATION,Scope,Complete,2016-09-22,2023-07-26,2023-04-19,239660.0,250123.0,249717.0
7438,20,K104,P.S. 104 - BROOKLYN,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL / COVID VENTILATION / COVID LOW VOLTAGE ELECTRICAL SYSTEMS / FLOOD ELIMINATION,Design,Complete,2023-04-20,2023-09-21,2023-05-09,1198300.0,894441.0,697290.0
7439,20,K104,P.S. 104 - BROOKLYN,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL / COVID VENTILATION / COVID LOW VOLTAGE ELECTRICAL SYSTEMS / FLOOD ELIMINATION,Construction,In-Progress,2023-09-18,2026-03-05,,26961751.0,24442796.0,10407853.0
7440,20,K104,P.S. 104 - BROOKLYN,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL / COVID VENTILATION / COVID LOW VOLTAGE ELECTRICAL SYSTEMS / FLOOD ELIMINATION,"CM,F&E",In-Progress,2023-09-18,2026-03-05,,1678591.0,496420.0,492347.0
7441,20,K104,P.S. 104 - BROOKLYN,SCA CIP RESOA,FY23 RESO A OUTDOOR STEM CENTER,Scope,Complete,2023-02-15,2023-05-16,2024-02-09,0.0,58235.0,58235.0
7442,20,K104,P.S. 104 - BROOKLYN,SCA CIP RESOA,FY23 RESO A OUTDOOR STEM CENTER,Design,In-Progress,2024-02-21,2024-07-08,,51000.0,47145.0,32537.0
7443,20,K104,P.S. 104 - BROOKLYN,SCA CIP RESOA,FY23 RESO A OUTDOOR STEM CENTER,Construction,PNS,,,,748000.0,748000.0,7285.0
7444,20,K104,P.S. 104 - BROOKLYN,SCA CIP RESOA,FY23 RESO A OUTDOOR STEM CENTER,"CM,F&E",PNS,,,,51000.0,51000.0,18328.0
7445,20,K104,P.S. 104 - BROOKLYN,SCA CIP RESOA,PATH OF TRAVEL RESO A OUTDOOR STEM CENTER,Scope,Complete,2023-02-22,2023-05-23,2024-04-03,0.0,1951.0,1951.0
7446,20,K104,P.S. 104 - BROOKLYN,SCA CIP RESOA,PATH OF TRAVEL RESO A OUTDOOR STEM CENTER,Design,In-Progress,2024-04-12,2024-08-15,,7089.0,7804.0,7804.0
7447,20,K104,P.S. 104 - BROOKLYN,SCA CIP RESOA,PATH OF TRAVEL RESO A OUTDOOR STEM CENTER,Construction,PNS,,,,103975.0,103975.0,0.0
7448,20,K104,P.S. 104 - BROOKLYN,SCA CIP RESOA,PATH OF TRAVEL RESO A OUTDOOR STEM CENTER,"CM,F&E",PNS,,,,7089.0,7089.0,3812.0
7454,20,K105,P.S. 105 - BROOKLYN,SCA CIP RESOA,FY24 RESO A PLAYGROUND UPGRADE,Scope,Complete,2024-04-19,2024-07-22,2025-01-29,0.0,30991.0,3290.0
7455,20,K105,P.S. 105 - BROOKLYN,SCA CIP RESOA,FY24 RESO A PLAYGROUND UPGRADE,Design,PNS,,,,65463.0,34472.0,13163.0
7456,20,K105,P.S. 105 - BROOKLYN,SCA CIP RESOA,FY24 RESO A PLAYGROUND UPGRADE,Construction,PNS,,,,960121.0,960121.0,0.0
7457,20,K105,P.S. 105 - BROOKLYN,SCA CIP RESOA,FY24 RESO A PLAYGROUND UPGRADE,"CM,F&E",PNS,,,,65463.0,65463.0,10356.0
7458,20,K105,P.S. 105 - BROOKLYN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Scope,Complete,2024-04-19,2024-07-22,2025-01-29,6700.0,6700.0,191.0
7459,20,K105,P.S. 105 - BROOKLYN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Design,PNS,,,,763.0,763.0,763.0
7460,20,K105,P.S. 105 - BROOKLYN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Construction,PNS,,,,7879.0,7879.0,0.0
7461,20,K105,P.S. 105 - BROOKLYN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,"CM,F&E",PNS,,,,2004.0,2004.0,2004.0
7465,20,K112,P.S. 112 - BROOKLYN,SCA CIP,WATER INFILTRATION / PARAPETS / WINDOWS / EXTERIOR MASONRY / ROOFS,Scope,Complete,2019-06-18,2019-11-01,2019-12-31,105581.0,165232.0,163484.0
7466,20,K112,P.S. 112 - BROOKLYN,SCA CIP,WATER INFILTRATION / PARAPETS / WINDOWS / EXTERIOR MASONRY / ROOFS,Design,Complete,2020-01-08,2020-06-09,2020-06-30,521856.0,418552.0,410547.0
7467,20,K112,P.S. 112 - BROOKLYN,SCA CIP,WATER INFILTRATION / PARAPETS / WINDOWS / EXTERIOR MASONRY / ROOFS,Construction,In-Progress,2023-02-06,2025-02-04,,11218306.0,10306284.0,8536468.0
7468,20,K112,P.S. 112 - BROOKLYN,SCA CIP,WATER INFILTRATION / PARAPETS / WINDOWS / EXTERIOR MASONRY / ROOFS,"CM,F&E",In-Progress,2023-02-06,2025-02-04,,785642.0,332271.0,330719.0
7471,20,K127,P.S. 127 - BROOKLYN,SCA CIP,EXTERIOR MASONRY / ROOFS / PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL / PHASE 3 VOLUNTARY ADA/ROOM CONVERSION WORK / PARAPETS / WINDOWS,Scope,Complete,2017-06-30,2021-12-06,2021-10-28,262426.0,417639.0,417639.0
7472,20,K127,P.S. 127 - BROOKLYN,SCA CIP,EXTERIOR MASONRY / ROOFS / PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL / PHASE 3 VOLUNTARY ADA/ROOM CONVERSION WORK / PARAPETS / WINDOWS,Design,Complete,2021-11-18,2022-06-30,2022-04-26,1293602.0,1536575.0,1467167.0
7473,20,K127,P.S. 127 - BROOKLYN,SCA CIP,EXTERIOR MASONRY / ROOFS / PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL / PHASE 3 VOLUNTARY ADA/ROOM CONVERSION WORK / PARAPETS / WINDOWS,Construction,In-Progress,2022-09-26,2024-12-13,,28828128.0,27659469.0,19439418.0
7474,20,K127,P.S. 127 - BROOKLYN,SCA CIP,EXTERIOR MASONRY / ROOFS / PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL / PHASE 3 VOLUNTARY ADA/ROOM CONVERSION WORK / PARAPETS / WINDOWS,"CM,F&E",In-Progress,2022-09-26,2024-12-13,,1795257.0,1569045.0,1527158.0
7485,20,K163,P.S. 748 - BROOKLYN,SCA CIP,EXTERIOR MASONRY / PARAPETS,Scope,Complete,2023-06-05,2023-10-20,2023-10-17,48516.0,64618.0,64376.0
7486,20,K163,P.S. 748 - BROOKLYN,SCA CIP,EXTERIOR MASONRY / PARAPETS,Design,Complete,2023-10-24,2024-03-28,2024-08-13,222536.0,127463.0,121096.0
7487,20,K163,P.S. 748 - BROOKLYN,SCA CIP,EXTERIOR MASONRY / PARAPETS,Construction,PNS,,,,3494381.0,3494381.0,47522.0
7488,20,K163,P.S. 748 - BROOKLYN,SCA CIP,EXTERIOR MASONRY / PARAPETS,"CM,F&E",PNS,,,,398826.0,398826.0,41630.0
7489,20,K163,P.S. 748 - BROOKLYN,SCA CIP RESOA,PATH OF TRAVEL GYMANSIUM UPGRADE,Scope,PNS,,,,0.0,0.0,0.0
7490,20,K163,P.S. 748 - BROOKLYN,SCA CIP RESOA,PATH OF TRAVEL GYMANSIUM UPGRADE,Design,PNS,,,,0.0,0.0,0.0
7491,20,K163,P.S. 748 - BROOKLYN,SCA CIP RESOA,PATH OF TRAVEL GYMANSIUM UPGRADE,Construction,PNS,,,,0.0,0.0,0.0
7492,20,K163,P.S. 748 - BROOKLYN,SCA CIP RESOA,PATH OF TRAVEL GYMANSIUM UPGRADE,"CM,F&E",PNS,,,,0.0,0.0,0.0
7493,20,K163,P.S. 748 - BROOKLYN,SCA CIP RESOA,PATH OF TRAVEL RESO A AUDITORIUM UPGRADE,Scope,Complete,2019-12-10,2020-03-06,2021-05-03,0.0,6638.0,6638.0
7494,20,K163,P.S. 748 - BROOKLYN,SCA CIP RESOA,PATH OF TRAVEL RESO A AUDITORIUM UPGRADE,Design,Complete,2021-05-03,2021-07-02,2021-05-12,4680.0,154.0,154.0
7495,20,K163,P.S. 748 - BROOKLYN,SCA CIP RESOA,PATH OF TRAVEL RESO A AUDITORIUM UPGRADE,Construction,PNS,,,,68640.0,68640.0,2716.0
7496,20,K163,P.S. 748 - BROOKLYN,SCA CIP RESOA,PATH OF TRAVEL RESO A AUDITORIUM UPGRADE,"CM,F&E",PNS,,,,4680.0,4680.0,1603.0
7497,20,K163,P.S. 748 - BROOKLYN,SCA CIP RESOA,FY23 RESO A ELECTRICAL UPGRADE,Scope,Complete,2023-07-14,2023-11-15,2023-10-13,0.0,1445.0,1445.0
7498,20,K163,P.S. 748 - BROOKLYN,SCA CIP RESOA,FY23 RESO A ELECTRICAL UPGRADE,Design,Complete,2023-10-16,2024-03-20,2024-02-28,30000.0,5782.0,5782.0
7499,20,K163,P.S. 748 - BROOKLYN,SCA CIP RESOA,FY23 RESO A ELECTRICAL UPGRADE,Construction,In-Progress,2024-10-10,2025-08-05,,440000.0,381255.0,6605.0
7500,20,K163,P.S. 748 - BROOKLYN,SCA CIP RESOA,FY23 RESO A ELECTRICAL UPGRADE,"CM,F&E",In-Progress,2024-10-10,2025-08-05,,30000.0,35978.0,8439.0
7505,20,K164,P.S. 164 - BROOKLYN,SCA CIP,COVID VENTILATION / COVID FIRE ALARM REPLACEMENT,Scope,Complete,2021-01-27,2021-05-27,2021-12-01,67750.0,96618.0,96568.0
7506,20,K164,P.S. 164 - BROOKLYN,SCA CIP,COVID VENTILATION / COVID FIRE ALARM REPLACEMENT,Design,Complete,2021-12-02,2022-05-02,2022-08-31,338750.0,356779.0,342071.0
7507,20,K164,P.S. 164 - BROOKLYN,SCA CIP,COVID VENTILATION / COVID FIRE ALARM REPLACEMENT,Construction,In-Progress,2023-03-06,2024-06-02,,7621875.0,8656825.0,7208088.0
7508,20,K164,P.S. 164 - BROOKLYN,SCA CIP,COVID VENTILATION / COVID FIRE ALARM REPLACEMENT,"CM,F&E",In-Progress,2023-03-06,2024-06-02,,481273.0,491186.0,473132.0
7509,20,K164,P.S. 164 - BROOKLYN,SCA CIP,EXTERIOR MASONRY / ROOFS / PARAPETS / FLOOD ELIMINATION,Scope,Complete,2024-06-10,2024-10-25,2024-10-04,128897.0,123459.0,110316.0
7510,20,K164,P.S. 164 - BROOKLYN,SCA CIP,EXTERIOR MASONRY / ROOFS / PARAPETS / FLOOD ELIMINATION,Design,In-Progress,2024-11-22,2025-04-28,,594909.0,594909.0,272280.0
7511,20,K164,P.S. 164 - BROOKLYN,SCA CIP,EXTERIOR MASONRY / ROOFS / PARAPETS / FLOOD ELIMINATION,Construction,PNS,,,,9374739.0,9374739.0,22769.0
7512,20,K164,P.S. 164 - BROOKLYN,SCA CIP,EXTERIOR MASONRY / ROOFS / PARAPETS / FLOOD ELIMINATION,"CM,F&E",PNS,,,,1018834.0,1018834.0,33655.0
7513,20,K164,P.S. 164 - BROOKLYN,SCA CIP,IPDVS INSTALLATIONS,Scope,Complete,2022-10-14,2023-02-16,2022-12-21,3769.0,6874.0,6874.0
7514,20,K164,P.S. 164 - BROOKLYN,SCA CIP,IPDVS INSTALLATIONS,Design,Complete,2022-12-21,2023-06-20,2023-04-04,16961.0,27499.0,27499.0
7515,20,K164,P.S. 164 - BROOKLYN,SCA CIP,IPDVS INSTALLATIONS,Construction,In-Progress,2023-07-21,2024-06-14,,218602.0,201092.0,170429.0
7516,20,K164,P.S. 164 - BROOKLYN,SCA CIP,IPDVS INSTALLATIONS,"CM,F&E",In-Progress,2023-07-21,2024-06-14,,93447.0,91152.0,90753.0
7525,20,K170,P.S. 170 - BROOKLYN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Scope,PNS,,,,0.0,0.0,0.0
7526,20,K170,P.S. 170 - BROOKLYN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Design,PNS,,,,0.0,0.0,0.0
7527,20,K170,P.S. 170 - BROOKLYN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Construction,PNS,,,,0.0,0.0,0.0
7528,20,K170,P.S. 170 - BROOKLYN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,"CM,F&E",PNS,,,,0.0,0.0,0.0
7529,20,K170,P.S. 170 - BROOKLYN,SCA CIP RESOA,FY25 RESO A PLAYGROUND UPGRADE,Scope,In-Progress,2025-02-07,2025-05-08,,0.0,19125.0,99.0
7530,20,K170,P.S. 170 - BROOKLYN,SCA CIP RESOA,FY25 RESO A PLAYGROUND UPGRADE,Design,PNS,,,,60000.0,40875.0,394.0
7531,20,K170,P.S. 170 - BROOKLYN,SCA CIP RESOA,FY25 RESO A PLAYGROUND UPGRADE,Construction,PNS,,,,880000.0,880000.0,0.0
7532,20,K170,P.S. 170 - BROOKLYN,SCA CIP RESOA,FY25 RESO A PLAYGROUND UPGRADE,"CM,F&E",PNS,,,,60000.0,60000.0,0.0
7535,20,K176,P.S. 176 - BROOKLYN,SCA CIP,FLOOD ELIMINATION / ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS,Scope,Complete,2021-06-15,2021-12-14,2021-10-04,204217.0,264254.0,239236.0
7536,20,K176,P.S. 176 - BROOKLYN,SCA CIP,FLOOD ELIMINATION / ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS,Design,Complete,2021-10-12,2022-06-30,2022-04-06,1017869.0,505712.0,505712.0
7537,20,K176,P.S. 176 - BROOKLYN,SCA CIP,FLOOD ELIMINATION / ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS,Construction,In-Progress,2022-08-15,2024-08-13,,22623879.0,21054785.0,15766605.0
7538,20,K176,P.S. 176 - BROOKLYN,SCA CIP,FLOOD ELIMINATION / ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS,"CM,F&E",In-Progress,2022-08-15,2024-08-13,,1454854.0,506958.0,506355.0
7548,20,K179,P.S. 179 - BROOKLYN,SCA CIP,IPDVS INSTALLATIONS,Scope,Complete,2024-05-15,2024-09-16,2024-05-21,4137.0,2653.0,2653.0
7549,20,K179,P.S. 179 - BROOKLYN,SCA CIP,IPDVS INSTALLATIONS,Design,Complete,2024-05-21,2024-11-18,2024-11-07,18616.0,10611.0,10611.0
7550,20,K179,P.S. 179 - BROOKLYN,SCA CIP,IPDVS INSTALLATIONS,Construction,PNS,,,,239937.0,239937.0,3233.0
7551,20,K179,P.S. 179 - BROOKLYN,SCA CIP,IPDVS INSTALLATIONS,"CM,F&E",PNS,,,,44471.0,44471.0,4409.0
7552,20,K179,P.S. 179 - BROOKLYN,SCA CIP RESOA,FY24 RESO A AUDITORIUM UPGRADE,Scope,Complete,2024-06-28,2024-10-30,2024-10-09,0.0,30653.0,30653.0
7553,20,K179,P.S. 179 - BROOKLYN,SCA CIP RESOA,FY24 RESO A AUDITORIUM UPGRADE,Design,In-Progress,2024-10-09,2025-03-17,,59224.0,120133.0,38683.0
7554,20,K179,P.S. 179 - BROOKLYN,SCA CIP RESOA,FY24 RESO A AUDITORIUM UPGRADE,Construction,PNS,,,,868613.0,868613.0,5546.0
7555,20,K179,P.S. 179 - BROOKLYN,SCA CIP RESOA,FY24 RESO A AUDITORIUM UPGRADE,"CM,F&E",PNS,,,,59224.0,59224.0,30503.0
7556,20,K179,P.S. 179 - BROOKLYN,SCA CIP RESOA,PATH OF TRAVEL RESO A AUDITORIUM UPGRADE,Scope,Complete,2024-08-30,2024-12-03,2025-01-28,11683.0,11683.0,4083.0
7557,20,K179,P.S. 179 - BROOKLYN,SCA CIP RESOA,PATH OF TRAVEL RESO A AUDITORIUM UPGRADE,Design,In-Progress,2025-01-28,2025-05-28,,16334.0,16334.0,16334.0
7558,20,K179,P.S. 179 - BROOKLYN,SCA CIP RESOA,PATH OF TRAVEL RESO A AUDITORIUM UPGRADE,Construction,PNS,,,,11387.0,11387.0,0.0
7559,20,K179,P.S. 179 - BROOKLYN,SCA CIP RESOA,PATH OF TRAVEL RESO A AUDITORIUM UPGRADE,"CM,F&E",PNS,,,,6595.0,6595.0,6595.0
7560,20,K180,P.S. 180 - BROOKLYN,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY,Scope,Complete,2024-07-01,2024-11-15,2024-11-14,187005.0,114451.0,114451.0
7561,20,K180,P.S. 180 - BROOKLYN,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY,Design,Complete,2024-11-26,2025-04-30,2025-03-28,872689.0,221526.0,221526.0
7562,20,K180,P.S. 180 - BROOKLYN,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY,Construction,PNS,,,,13838345.0,13838345.0,23559.0
7563,20,K180,P.S. 180 - BROOKLYN,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY,"CM,F&E",PNS,,,,1371368.0,1371368.0,36464.0
7564,20,K180,P.S. 180 - BROOKLYN,SCA CIP,EXTERIOR MASONRY / FULL PROGRAM ACCESSIBILITY / FLOOD ELIMINATION,Scope,Complete,2020-02-11,2021-09-13,2021-11-03,233776.0,241313.0,235407.0
7565,20,K180,P.S. 180 - BROOKLYN,SCA CIP,EXTERIOR MASONRY / FULL PROGRAM ACCESSIBILITY / FLOOD ELIMINATION,Design,Complete,2021-11-08,2022-04-28,2022-09-30,1164456.0,678710.0,616029.0
7566,20,K180,P.S. 180 - BROOKLYN,SCA CIP,EXTERIOR MASONRY / FULL PROGRAM ACCESSIBILITY / FLOOD ELIMINATION,Construction,In-Progress,2023-09-18,2025-12-05,,25817368.0,23375475.0,2940138.0
7567,20,K180,P.S. 180 - BROOKLYN,SCA CIP,EXTERIOR MASONRY / FULL PROGRAM ACCESSIBILITY / FLOOD ELIMINATION,"CM,F&E",In-Progress,2023-09-18,2025-12-05,,1669634.0,314667.0,303420.0
7568,20,K180,P.S. 180 - BROOKLYN,SCA CIP,WINDOWS,Scope,Complete,2024-07-01,2024-11-15,2024-11-14,25523.0,25523.0,25523.0
7569,20,K180,P.S. 180 - BROOKLYN,SCA CIP,WINDOWS,Design,Complete,2024-11-26,2025-04-30,2025-03-27,102091.0,102091.0,102091.0
7570,20,K180,P.S. 180 - BROOKLYN,SCA CIP,WINDOWS,Construction,PNS,,,,3493.0,3493.0,3493.0
7571,20,K180,P.S. 180 - BROOKLYN,SCA CIP,WINDOWS,"CM,F&E",PNS,,,,9422.0,9422.0,9422.0
7581,20,K185,P.S. 185 - BROOKLYN,SCA CIP,CLASSROOM FLOORING / PATH OF TRAVEL CLASSROOM FLOORING,Scope,Complete,2023-03-21,2024-02-27,2023-12-12,23958.0,28241.0,28241.0
7582,20,K185,P.S. 185 - BROOKLYN,SCA CIP,CLASSROOM FLOORING / PATH OF TRAVEL CLASSROOM FLOORING,Design,Complete,2023-12-13,2024-04-12,2024-04-11,117330.0,82427.0,32827.0
7583,20,K185,P.S. 185 - BROOKLYN,SCA CIP,CLASSROOM FLOORING / PATH OF TRAVEL CLASSROOM FLOORING,Construction,In-Progress,2025-01-08,2026-07-01,,2427351.0,2367283.0,171016.0
7584,20,K185,P.S. 185 - BROOKLYN,SCA CIP,CLASSROOM FLOORING / PATH OF TRAVEL CLASSROOM FLOORING,"CM,F&E",In-Progress,2025-01-08,2026-07-01,,186133.0,66791.0,66791.0
7585,20,K185,P.S. 185 - BROOKLYN,SCA CIP RESOA,RESO A PLAYGROUND,Scope,Complete,2024-07-10,2024-10-08,2024-10-29,0.0,11906.0,6141.0
7586,20,K185,P.S. 185 - BROOKLYN,SCA CIP RESOA,RESO A PLAYGROUND,Design,In-Progress,2024-11-07,2025-03-28,,53621.0,94725.0,12165.0
7587,20,K185,P.S. 185 - BROOKLYN,SCA CIP RESOA,RESO A PLAYGROUND,Construction,PNS,,,,786445.0,786445.0,5061.0
7588,20,K185,P.S. 185 - BROOKLYN,SCA CIP RESOA,RESO A PLAYGROUND,"CM,F&E",PNS,,,,53621.0,53621.0,15660.0
7589,20,K185,P.S. 185 - BROOKLYN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND,Scope,Complete,2024-10-31,2025-02-05,2025-03-06,0.0,172.0,172.0
7590,20,K185,P.S. 185 - BROOKLYN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND,Design,In-Progress,2025-03-11,2025-07-14,,16590.0,686.0,686.0
7591,20,K185,P.S. 185 - BROOKLYN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND,Construction,PNS,,,,243327.0,243327.0,0.0
7592,20,K185,P.S. 185 - BROOKLYN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND,"CM,F&E",PNS,,,,16590.0,16590.0,1537.0
7604,20,K192,P.S. 192 - BROOKLYN,SCA CIP,IPDVS INSTALLATIONS,Scope,Complete,2022-09-02,2023-01-06,2022-10-04,3371.0,10312.0,10312.0
7605,20,K192,P.S. 192 - BROOKLYN,SCA CIP,IPDVS INSTALLATIONS,Design,Complete,2022-10-04,2023-04-04,2023-04-04,15170.0,41248.0,41248.0
7606,20,K192,P.S. 192 - BROOKLYN,SCA CIP,IPDVS INSTALLATIONS,Construction,In-Progress,2023-07-21,2024-06-14,,195518.0,179644.0,143176.0
7607,20,K192,P.S. 192 - BROOKLYN,SCA CIP,IPDVS INSTALLATIONS,"CM,F&E",In-Progress,2023-07-21,2024-06-14,,81696.0,84365.0,83749.0
7613,20,K200,P.S. 200 - BROOKLYN,SCA CIP,PARAPETS / ROOFS / EXTERIOR MASONRY,Scope,Complete,2017-02-01,2017-06-16,2017-09-08,119212.0,116141.0,116141.0
7614,20,K200,P.S. 200 - BROOKLYN,SCA CIP,PARAPETS / ROOFS / EXTERIOR MASONRY,Design,Complete,2017-10-11,2018-03-16,2018-01-31,476847.0,523696.0,484888.0
7615,20,K200,P.S. 200 - BROOKLYN,SCA CIP,PARAPETS / ROOFS / EXTERIOR MASONRY,Construction,Complete,2018-06-01,2020-02-20,2024-03-14,8940881.0,8968584.0,7112613.0
7616,20,K200,P.S. 200 - BROOKLYN,SCA CIP,PARAPETS / ROOFS / EXTERIOR MASONRY,"CM,F&E",Complete,2018-06-01,2020-02-20,2024-03-14,556322.0,1877557.0,1829450.0
7617,20,K200,P.S. 200 - BROOKLYN,SCA CIP,IPDVS INSTALLATIONS,Scope,Complete,2024-05-23,2024-09-24,2024-05-29,6615.0,2509.0,2509.0
7618,20,K200,P.S. 200 - BROOKLYN,SCA CIP,IPDVS INSTALLATIONS,Design,Complete,2024-05-29,2024-11-25,2024-11-07,29769.0,10036.0,10036.0
7619,20,K200,P.S. 200 - BROOKLYN,SCA CIP,IPDVS INSTALLATIONS,Construction,PNS,,,,383689.0,383689.0,4599.0
7620,20,K200,P.S. 200 - BROOKLYN,SCA CIP,IPDVS INSTALLATIONS,"CM,F&E",PNS,,,,71115.0,71115.0,4868.0
7627,20,K201,I.S. 201 - BROOKLYN,SCA CIP,GYM FLOOR REPLACEMENT,Scope,Complete,2023-06-29,2023-10-31,2023-11-15,18216.0,17651.0,17588.0
